Company,URL,IndustryCode,IndustryCodeDescription
Code Poets Ltd,https://www.code-poets.co.uk,72,(72)  Computer and Related Activities
Kent & Canterbury Hospital,https://www.nhs.uk/pages/home.aspx,52,"(52)  Retail Trade, Exc. Motor Vehicles/Cycles; Repair of Personal/House'd Goods"
Signs Express Holdings Ltd,https://www.signsexpress.co.uk,74,(74)  Other Business Activities
Ten Ten Properties Ltd,https://www.1010systems.co.uk/,70,(70)  Real Estate Activities
Yes Stores,http://www.10ofthose.com,52,"(52)  Retail Trade, Exc. Motor Vehicles/Cycles; Repair of Personal/House'd Goods"
152 Harley Street Ltd,http://www.152harleystreet.com,85,(85)  Health and Social Work
One Stop Dentures Ltd,http://www.1osd.com,85,(85)  Health and Social Work
1 Red Cube Ltd,http://www.1redcube.com,64,(64)  Post and Telecommunications
1st Biotech Ltd,http://www.1stbiotech.co.uk,52,"(52)  Retail Trade, Exc. Motor Vehicles/Cycles; Repair of Personal/House'd Goods"
1st Class Hygiene Ltd,http://www.1stch.co.uk,74,(74)  Other Business Activities
First Chartered Financial Planning Ltd,https://1stcharteredfp.co.uk/,74,(74)  Other Business Activities
1st Impression (Wales) Ltd,http://www.1stimpressionsigns.co.uk,74,(74)  Other Business Activities
1 World Solar Ltd,http://www.1worldsolar.co.uk,45,(45)  Construction
21st Century Legacy,http://www.21stcenturylegacy.com,80,(80)  Education
24hours It Ltd,http://www.24hoursit.com,72,(72)  Computer and Related Activities
25 Repair Centre Ltd,http://www.25repaircentre.com,36,(36)  Manufacture of Furniture; Manufacturing Not Elsewhere Classified
Beckton Energy Ltd,http://www.2oc.co.uk,74,(74)  Other Business Activities
30two Ltd,https://www.30two.com/,74,(74)  Other Business Activities
Chaplins,http://www.360-squared.com,55,(55)  Hotels and Restaurants
3ddc Ltd,http://www.3ddc.eu,74,(74)  Other Business Activities
3 Counties M & G Ltd,http://www.3mg-fire.co.uk,93,(93)  Other Service Activities
4dmi Ltd,http://www.weareeclipse.com/,74,(74)  Other Business Activities
4 Seasons (Yorkshire) Ltd,http://www.4seasons-flowers.co.uk,52,"(52)  Retail Trade, Exc. Motor Vehicles/Cycles; Repair of Personal/House'd Goods"
4twenty2 Ltd,https://www.4twenty2.co.uk/,74,(74)  Other Business Activities
4 Ur Paws Only Ltd.,http://www.4urpawsonly.com,01,"(01)  Agriculture, Hunting and Related Service Activities"
73bit Ltd,http://www.73bit.com,72,(72)  Computer and Related Activities
7 Core Electrical Wholesale Ltd,https://www.7core.co.uk/,51,"(51)  Wholesale & Commission Trade, Except of Motor Vehicles and Motorcycles"
7gods Ltd,https://www.7godslighting.com/,74,(74)  Other Business Activities
7oaks Landscapes Ltd,http://www.7oakslandscapes.com,74,(74)  Other Business Activities
802 Works Ltd,https://802works.co.uk/,72,(72)  Computer and Related Activities
81g Ltd,http://www.81gblue.co.uk,72,(72)  Computer and Related Activities
A1-Envirosciences Ltd,http://a1-envirosciences.co.uk/,36,(36)  Manufacture of Furniture; Manufacturing Not Elsewhere Classified
A1 Tank Services Ltd,http://www.a1tanks.com,74,(74)  Other Business Activities
Aaa Inflatables Ltd,https://www.aaainflatables.co.uk/,92,"(92)  Recreational, Cultural and Sporting Activities"
Clemtec Ltd,https://www.aa-clean.co.uk/,93,(93)  Other Service Activities
Aadam Ltd,http://www.aadam.co.uk,70,(70)  Real Estate Activities
Aastel Ltd,http://www.aastel.com,36,(36)  Manufacture of Furniture; Manufacturing Not Elsewhere Classified
Abacus for You Ltd,http://www.abacusforyou.com,74,(74)  Other Business Activities
Abacus Wealth Management Ltd,http://www.abacuswm.co.uk,66,"(66)  Insurance and Pension Funding, Except Compulsory Social Security"
Abbey Healthcare (Knebworth) Ltd,http://www.abbeyhealthcare.org.uk,85,(85)  Health and Social Work
Abbey Inn,http://www.abbeyinn.com,55,(55)  Hotels and Restaurants
Abbey Marble (East Anglia) Ltd,http://www.abbeymarble.co.uk,26,(26)  Manufacture of Other Non-metallic Mineral Products
Abbey Polythene Ltd,https://www.abbeypolythene.co.uk/,25,(25)  Manufacture of Rubber and Plastic Products
Abbey Veterinary Centre,http://www.abbeyvets.co.uk,75,(75)  Public Administration and Defence; Compulsory Social Security
Alphabet Solutions Ltd,http://www.abc-accounting-services.co.uk,74,(74)  Other Business Activities
Associated British Engineering Plc,http://www.abeplc.co.uk,74,(74)  Other Business Activities
Aberdeen Sports Village Ltd,http://www.aberdeensportsvillage.com,92,"(92)  Recreational, Cultural and Sporting Activities"
A-Best Nursing and Care Ltd,http://www.abestcare.co.uk,74,(74)  Other Business Activities
Abi Equipment Ltd,http://www.abi-eqp.com,36,(36)  Manufacture of Furniture; Manufacturing Not Elsewhere Classified
M J Hookings,http://www.ablefeltroofing.co.uk,45,(45)  Construction
Abode Lettings and Property Management Llp,http://www.abodelettings.uk.com,70,(70)  Real Estate Activities
Associated British Ports,http://www.abports.co.uk,63,(63)  Supporting & Auxiliary Transport Activities; Activities Of Travel Agencies
Associated British Ports,http://www.abports.co.uk,63,(63)  Supporting & Auxiliary Transport Activities; Activities Of Travel Agencies
Ab Rhead & Associates Ltd,http://www.abrhead.com,74,(74)  Other Business Activities
